asset,name,sleeve,holding_days,average_weight_when_held,average_weight_all_days
513100.SH,纳指ETF,core,1040,0.9747997197704337,0.33044058297302836
518880.SH,黄金ETF,core,818,1.0,0.2666232073011734
159915.SZ,创业板ETF,core,734,0.9565217879258252,0.22884191406048102
510300.SH,沪深300ETF,core,476,0.9465132821406743,0.1468514740218256
510050.SH,华夏上证50ETF,domestic_broad,176,0.06825286316585931,0.003915418486698579
159949.SZ,华安创业板50ETF,domestic_broad,205,0.04992287015153842,0.0033357850003472547
159995.SZ,华夏国证半导体芯片ETF,tmt,90,0.09526178418190476,0.0027945112700037246
510900.SH,易方达恒生中国企业ETF(QDII),overseas_broad,110,0.07033231954586312,0.002521693334434467
510500.SH,南方中证500ETF,domestic_broad,82,0.08109718861444833,0.002167525901689948
510810.SH,汇添富中证上海国企ETF,domestic_broad,60,0.09555759353681846,0.0018687925724280008
159781.SZ,易方达中证科创创业50ETF,domestic_broad,55,0.07114257169265426,0.0012753720479452358
159901.SZ,易方达深证100ETF,domestic_broad,55,0.05425400281416504,0.0009726108718315112
159928.SZ,汇添富中证主要消费ETF,consumer,45,0.06606051755272213,0.0009689450097367979
159869.SZ,华夏中证动漫游戏ETF,tmt,25,0.08497494705940513,0.0006924294903797679
159920.SZ,华夏恒生ETF(QDII),overseas_broad,30,0.06702459325479618,0.0006553904164419443
159516.SZ,国泰中证半导体材料设备主题ETF,tmt,15,0.12116414069373851,0.0005923931259472222
159870.SZ,鹏华中证细分化工产业主题ETF,cyclical,20,0.0860529454691878,0.0005609709613375998
159509.SZ,景顺长城纳斯达克科技市值加权ETF(QDII),tmt,30,0.05551438276107686,0.000542839466372981
588170.SH,华夏上证科创板半导体材料设备主题ETF,tmt,11,0.14999999999999997,0.0005378096479791395
510180.SH,华安上证180ETF,domestic_broad,60,0.026790359545461176,0.0005239314122319655
159792.SZ,富国中证港股通互联网ETF,tmt,20,0.07817367358255335,0.0005096067378262931
159819.SZ,易方达中证人工智能主题ETF,tmt,20,0.0591583119060536,0.0003856474048634523
159796.SZ,汇添富中证电池主题ETF,energy,10,0.10290067918505252,0.000335399866965621
159570.SZ,汇添富国证港股通创新药ETF,healthcare,10,0.09796167952781397,0.00031930143261999335
159363.SZ,华宝创业板人工智能ETF,tmt,15,0.05302225343323119,0.00025923526776351624
159636.SZ,工银瑞信国证港股通科技ETF,tmt,5,0.15,0.0002444589308996089
159326.SZ,华夏中证电网设备主题ETF,manufacturing,10,0.06478957202577547,0.00021117852681152367
159992.SZ,银华中证创新药产业ETF,healthcare,10,0.05284766856753601,0.00017225446078075618
159608.SZ,广发中证稀有金属主题ETF,cyclical,10,0.04988689520850662,0.000162603960914298
159841.SZ,天弘中证全指证券公司ETF,financial,5,0.08106523271458996,0.0001321141341502444
513500.SH,博时标普500ETF(QDII),overseas_broad,5,0.07759733768966688,0.00012646241474847928
512800.SH,华宝中证银行ETF,financial,5,0.0724026623103331,0.00011799651615112957
159852.SZ,嘉实中证软件服务ETF,tmt,5,0.06549474045316696,0.00010673849487152372
159605.SZ,广发中证海外中国互联网30ETF(QDII),tmt,5,0.0615253505698702,0.00010026947615689406
159736.SZ,天弘中证食品饮料ETF,consumer,5,0.04971069783858917,8.10148269859667e-05
510230.SH,国泰上证180金融ETF,financial,5,0.03198093948808048,5.212017517614159e-05
159766.SZ,富国中证旅游主题ETF,consumer,0,0.0,0.0
512690.SH,鹏华中证酒ETF,consumer,0,0.0,0.0
515980.SH,华富中证人工智能产业ETF,tmt,0,0.0,0.0
512660.SH,国泰中证军工ETF,defense,0,0.0,0.0
512760.SH,国泰CES半导体芯片行业ETF,tmt,0,0.0,0.0
516150.SH,嘉实中证稀土产业ETF,cyclical,0,0.0,0.0
515220.SH,国泰中证煤炭ETF,cyclical,0,0.0,0.0
516650.SH,华夏中证细分有色金属产业主题ETF,cyclical,0,0.0,0.0
512710.SH,富国中证军工龙头ETF,defense,0,0.0,0.0
562800.SH,嘉实中证稀有金属主题ETF,cyclical,0,0.0,0.0
515790.SH,华泰柏瑞中证光伏产业ETF,energy,0,0.0,0.0
560860.SH,万家中证工业有色金属主题ETF,cyclical,0,0.0,0.0
588220.SH,鹏华上证科创板100ETF,domestic_broad,0,0.0,0.0
563300.SH,华泰柏瑞中证2000ETF,domestic_broad,0,0.0,0.0
159883.SZ,永赢中证全指医疗器械ETF,healthcare,0,0.0,0.0
512950.SH,华夏中证央企结构调整ETF,domestic_broad,0,0.0,0.0
516160.SH,南方中证新能源ETF,energy,0,0.0,0.0
159338.SZ,国泰中证A500ETF,domestic_broad,0,0.0,0.0
159361.SZ,易方达中证A500ETF,domestic_broad,0,0.0,0.0
159262.SZ,广发恒生港股通科技主题ETF,tmt,0,0.0,0.0
515800.SH,汇添富中证800ETF,domestic_broad,0,0.0,0.0
515230.SH,国泰中证全指软件ETF,tmt,0,0.0,0.0
159316.SZ,易方达恒生港股通创新药ETF,healthcare,0,0.0,0.0
512070.SH,易方达沪深300非银行金融ETF,financial,0,0.0,0.0
159263.SZ,易方达国证价值100ETF,domestic_broad,0,0.0,0.0
