scope,arm,transaction_cost_rate,full_calendar_days,common_eval_days,missing_days,missing_dates
all_arms_common_index,,,3018,3016,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,A1,5e-05,3018,,0,
arm_cost_vs_full_calendar,A1,0.0001,3018,,0,
arm_cost_vs_full_calendar,A1,0.0003,3018,,0,
arm_cost_vs_full_calendar,A1,0.0005,3018,,0,
arm_cost_vs_full_calendar,A2,5e-05,3018,,1,2021-02-08
arm_cost_vs_full_calendar,A2,0.0001,3018,,1,2021-02-08
arm_cost_vs_full_calendar,A2,0.0003,3018,,1,2021-02-08
arm_cost_vs_full_calendar,A2,0.0005,3018,,1,2021-02-08
arm_cost_vs_full_calendar,A3,5e-05,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,A3,0.0001,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,A3,0.0003,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,A3,0.0005,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,B,5e-05,3018,,0,
arm_cost_vs_full_calendar,B,0.0001,3018,,0,
arm_cost_vs_full_calendar,B,0.0003,3018,,0,
arm_cost_vs_full_calendar,B,0.0005,3018,,0,
arm_cost_vs_full_calendar,B_prime,5e-05,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,B_prime,0.0001,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,B_prime,0.0003,3018,,2,2021-02-08;2021-02-09
arm_cost_vs_full_calendar,B_prime,0.0005,3018,,2,2021-02-08;2021-02-09
